Gene Symbol,Description,Category,Gifts,GC Id,Relevance score, GeneCards Link
TLR8,Toll Like Receptor 8,Protein Coding,47,GC0XP012924,0.37887159,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TLR8
APAF1,Apoptotic Peptidase Activating Factor 1,Protein Coding,46,GC12P098645,0.37887159,https://www.genecards.org/cgi-bin/carddisp.pl?gene=APAF1
NOS1,Nitric Oxide Synthase 1,Protein Coding,49,GC12M117208,0.327300459,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NOS1
NOS2,Nitric Oxide Synthase 2,Protein Coding,48,GC17M027756,0.327300459,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NOS2
PKN2,Protein Kinase N2,Protein Coding,44,GC01P088684,0.327300459,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PKN2
DPEP1,Dipeptidase 1,Protein Coding,42,GC16P089613,0.327300459,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DPEP1
CHMP1A,Charged Multivesicular Body Protein 1A,Protein Coding,39,GC16M089644,0.327300459,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHMP1A
PYDC2,Pyrin Domain Containing 2,Protein Coding,22,GC03P191461,0.327300459,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PYDC2
ACE2,Angiotensin Converting Enzyme 2,Protein Coding,48,GC0XM015494,0.267902672,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACE2
AKT1,AKT Serine/Threonine Kinase 1,Protein Coding,52,GC14M104769,0.218741611,https://www.genecards.org/cgi-bin/carddisp.pl?gene=AKT1
EGFR,Epidermal Growth Factor Receptor,Protein Coding,52,GC07P055019,0.218741611,https://www.genecards.org/cgi-bin/carddisp.pl?gene=EGFR
TP63,Tumor Protein P63,Protein Coding,47,GC03P189598,0.218741611,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TP63
IRF1,Interferon Regulatory Factor 1,Protein Coding,46,GC05M132440,0.218741611,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IRF1
ATF6,Activating Transcription Factor 6,Protein Coding,46,GC01P161766,0.218741611,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATF6
CASP9,Caspase 9,Protein Coding,46,GC01M015491,0.218741611,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CASP9
IRF2,Interferon Regulatory Factor 2,Protein Coding,43,GC04M184387,0.218741611,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IRF2
ORMDL3,ORMDL Sphingolipid Biosynthesis Regulator 3,Protein Coding,40,GC17M039921,0.218741611,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ORMDL3
POP1,"POP1 Homolog, Ribonuclease P/MRP Subunit",Protein Coding,38,GC08P098117,0.218741611,https://www.genecards.org/cgi-bin/carddisp.pl?gene=POP1
LINC00958,Long Intergenic Non-Protein Coding RNA 958,RNA Gene,17,GC11M012877,0.218741611,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC00958
MIR4306,MicroRNA 4306,RNA Gene,13,GC13P099643,0.218741611,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR4306
MDM2,MDM2 Proto-Oncogene,Protein Coding,52,GC12P068808,0.154673681,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MDM2
BTK,Bruton Tyrosine Kinase,Protein Coding,51,GC0XM101349,0.154673681,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BTK
BCL2,BCL2 Apoptosis Regulator,Protein Coding,49,GC18M063123,0.154673681,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BCL2
IL1RN,Interleukin 1 Receptor Antagonist,Protein Coding,48,GC02P120921,0.154673681,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL1RN
RIPK1,Receptor Interacting Serine/Threonine Kinase 1,Protein Coding,48,GC06P003155,0.154673681,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RIPK1
YWHAE,Tyrosine 3-Monooxygenase/Tryptophan 5-Monooxygenase Activation Protein Epsilon,Protein Coding,48,GC17M002492,0.154673681,https://www.genecards.org/cgi-bin/carddisp.pl?gene=YWHAE
HSP90AA1,Heat Shock Protein 90 Alpha Family Class A Member 1,Protein Coding,47,GC14M102080,0.154673681,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSP90AA1
ANXA2,Annexin A2,Protein Coding,47,GC15M060347,0.154673681,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ANXA2
NEDD4,NEDD4 E3 Ubiquitin Protein Ligase,Protein Coding,46,GC15M055826,0.154673681,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NEDD4
HSP90AB1,Heat Shock Protein 90 Alpha Family Class B Member 1,Protein Coding,46,GC06P044246,0.154673681,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSP90AB1
IRAK3,Interleukin 1 Receptor Associated Kinase 3,Protein Coding,46,GC12P066242,0.154673681,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IRAK3
MELK,Maternal Embryonic Leucine Zipper Kinase,Protein Coding,46,GC09P036572,0.154673681,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MELK
YWHAZ,Tyrosine 3-Monooxygenase/Tryptophan 5-Monooxygenase Activation Protein Zeta,Protein Coding,46,GC08M100917,0.154673681,https://www.genecards.org/cgi-bin/carddisp.pl?gene=YWHAZ
STXBP2,Syntaxin Binding Protein 2,Protein Coding,45,GC19P007785,0.154673681,https://www.genecards.org/cgi-bin/carddisp.pl?gene=STXBP2
UBE2D3,Ubiquitin Conjugating Enzyme E2 D3,Protein Coding,45,GC04M102794,0.154673681,https://www.genecards.org/cgi-bin/carddisp.pl?gene=UBE2D3
TLR9,Toll Like Receptor 9,Protein Coding,45,GC03M052222,0.154673681,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TLR9
CD14,CD14 Molecule,Protein Coding,45,GC05M140631,0.154673681,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD14
IFIH1,Interferon Induced With Helicase C Domain 1,Protein Coding,45,GC02M162267,0.154673681,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFIH1
GSTO1,Glutathione S-Transferase Omega 1,Protein Coding,44,GC10P104235,0.154673681,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GSTO1
HUWE1,"HECT, UBA And WWE Domain Containing E3 Ubiquitin Protein Ligase 1",Protein Coding,44,GC0XM053532,0.154673681,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HUWE1
TNFSF13B,TNF Superfamily Member 13b,Protein Coding,44,GC13P108251,0.154673681,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNFSF13B
BECN1,Beclin 1,Protein Coding,44,GC17M042810,0.154673681,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BECN1
CHI3L1,Chitinase 3 Like 1,Protein Coding,44,GC01M203148,0.154673681,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHI3L1
RAB5A,"RAB5A, Member RAS Oncogene Family",Protein Coding,44,GC03P019948,0.154673681,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAB5A
PANX1,Pannexin 1,Protein Coding,43,GC11P094128,0.154673681,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PANX1
IL13,Interleukin 13,Protein Coding,42,GC05P132656,0.154673681,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL13
ASIC1,Acid Sensing Ion Channel Subunit 1,Protein Coding,42,GC12P050057,0.154673681,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ASIC1
BRCC3,BRCA1/BRCA2-Containing Complex Subunit 3,Protein Coding,42,GC0XP155071,0.154673681,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BRCC3
ATG7,Autophagy Related 7,Protein Coding,42,GC03P012072,0.154673681,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATG7
LRPPRC,Leucine Rich Pentatricopeptide Repeat Containing,Protein Coding,42,GC02M043850,0.154673681,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LRPPRC
ERP44,Endoplasmic Reticulum Protein 44,Protein Coding,41,GC09M099979,0.154673681,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ERP44
CDC37,"Cell Division Cycle 37, HSP90 Cochaperone",Protein Coding,41,GC19M010391,0.154673681,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDC37
TRPM2,Transient Receptor Potential Cation Channel Subfamily M Member 2,Protein Coding,41,GC21P044350,0.154673681,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRPM2
CHMP4B,Charged Multivesicular Body Protein 4B,Protein Coding,41,GC20P033984,0.154673681,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHMP4B
PDCD6IP,Programmed Cell Death 6 Interacting Protein,Protein Coding,41,GC03P033798,0.154673681,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PDCD6IP
VPS4B,Vacuolar Protein Sorting 4 Homolog B,Protein Coding,41,GC18M063389,0.154673681,https://www.genecards.org/cgi-bin/carddisp.pl?gene=VPS4B
ATG3,Autophagy Related 3,Protein Coding,40,GC03M112532,0.154673681,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATG3
CXCL8,C-X-C Motif Chemokine Ligand 8,Protein Coding,40,GC04P073740,0.154673681,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CXCL8
IL13RA2,Interleukin 13 Receptor Subunit Alpha 2,Protein Coding,39,GC0XM115003,0.154673681,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL13RA2
STXBP3,Syntaxin Binding Protein 3,Protein Coding,39,GC01P108746,0.154673681,https://www.genecards.org/cgi-bin/carddisp.pl?gene=STXBP3
GPER1,G Protein-Coupled Estrogen Receptor 1,Protein Coding,38,GC07P001885,0.154673681,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GPER1
BST2,Bone Marrow Stromal Cell Antigen 2,Protein Coding,38,GC19M017403,0.154673681,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BST2
LYST,Lysosomal Trafficking Regulator,Protein Coding,38,GC01M235661,0.154673681,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LYST
VPS28,VPS28 Subunit Of ESCRT-I,Protein Coding,38,GC08M145249,0.154673681,https://www.genecards.org/cgi-bin/carddisp.pl?gene=VPS28
NCR1,Natural Cytotoxicity Triggering Receptor 1,Protein Coding,37,GC19P054906,0.154673681,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NCR1
IL27,Interleukin 27,Protein Coding,37,GC16M028645,0.154673681,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL27
SEC22B,"SEC22 Homolog B, Vesicle Trafficking Protein",Protein Coding,35,GC01M120150,0.154673681,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SEC22B
SIGLEC14,Sialic Acid Binding Ig Like Lectin 14,Protein Coding,34,GC19M062342,0.154673681,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SIGLEC14
CLEC5A,C-Type Lectin Domain Containing 5A,Protein Coding,34,GC07M141927,0.154673681,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CLEC5A
CGAS,Cyclic GMP-AMP Synthase,Protein Coding,29,GC06M073414,0.154673681,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CGAS
MIR20B,MicroRNA 20b,RNA Gene,17,GC0XM134217,0.154673681,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR20B
MIR15A,MicroRNA 15a,RNA Gene,17,GC13M050049,0.154673681,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR15A
